Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2018-09-25,2629.9,2629.9,2521.7,2563.65,2600.05,5279,13547716.3,4494.0,2382.2,2566.34,1782,33.76,EQ
2018-09-26,2563.65,2600.0,2500.0,2510.5,2563.65,6679,16954700.1,4494.0,2382.2,2538.51,2897,43.37,EQ
2018-09-27,2575.0,2639.0,2548.0,2608.4,2510.5,60299,156575439.6,4494.0,2382.2,2596.65,16967,28.14,EQ
2018-09-28,2648.95,2655.0,2565.0,2611.8,2608.4,34525,90001214.05,4494.0,2382.2,2606.84,18565,53.77,EQ
2018-10-01,2615.0,2620.1,2525.0,2591.85,2611.8,19749,50260217.05,4494.0,2382.2,2544.95,15733,79.66,EQ
2018-10-03,2566.15,2590.0,2535.0,2551.2,2591.85,24029,61731231.95,4494.0,2382.2,2569.03,21774,90.62,EQ
2018-10-04,2534.0,2568.4,2490.3,2507.8,2551.2,5489,13852285.15,4494.0,2382.2,2523.64,1879,34.23,EQ
2018-10-05,2545.0,2600.0,2451.0,2455.2,2507.8,107297,268787511.9,4494.0,2382.2,2505.08,80390,74.92,EQ
2018-10-08,2443.0,2443.0,2311.45,2381.3,2455.2,21716,51561126.45,4494.0,2311.45,2374.34,8095,37.28,EQ
2018-10-09,2399.9,2417.35,2340.0,2347.0,2381.3,6081,14387169.75,4494.0,2311.45,2365.92,1947,32.02,EQ
2018-10-10,2341.1,2478.15,2340.0,2439.95,2347.0,239762,584722657.05,4494.0,2311.45,2438.76,3157,1.32,EQ
2018-10-11,2388.0,2399.45,2330.05,2371.4,2439.95,28093,66683274.75,4494.0,2311.45,2373.66,23946,85.24,EQ
2018-10-12,2380.0,2448.0,2380.0,2429.3,2371.4,12119,29297828.4,4494.0,2311.45,2417.51,3639,30.03,EQ
2018-10-15,2429.0,2446.6,2375.0,2393.0,2429.3,77614,185898635.75,4494.0,2311.45,2395.17,72443,93.34,EQ
2018-10-16,2386.25,2419.75,2350.0,2365.0,2393.0,19598,46590537.95,4494.0,2311.45,2377.31,7184,36.66,EQ
2018-10-17,2399.0,2418.0,2298.3,2329.15,2365.0,24081,56531626.0,4494.0,2298.3,2347.56,14685,60.98,EQ
2018-10-19,2339.9,2360.45,2214.05,2259.7,2329.15,35675,80223104.4,4494.0,2214.05,2248.72,26085,73.12,EQ
2018-10-22,2274.0,2298.1,2216.05,2240.15,2259.7,20288,45505925.1,4494.0,2214.05,2243.0,14480,71.37,EQ
2018-10-23,2248.9,2248.9,2180.0,2198.45,2240.15,8197,18083675.25,4494.0,2180.0,2206.13,4438,54.14,EQ
2018-10-24,2200.05,2240.0,2160.0,2170.75,2198.45,10153,22229350.5,4494.0,2160.0,2189.44,4344,42.79,EQ
2018-10-25,2180.6,2194.95,2098.0,2105.3,2170.75,8403,17938469.2,4494.0,2098.0,2134.77,3934,46.82,EQ
2018-10-26,2110.0,2118.45,2030.1,2084.25,2105.3,10842,22498348.15,4494.0,2030.1,2075.11,4703,43.38,EQ
2018-10-29,2061.0,2150.0,2061.0,2102.2,2084.25,9091,19164783.7,4494.0,2030.1,2108.11,4078,44.86,EQ
2018-10-30,2060.15,2129.8,2041.15,2080.05,2102.2,13932,29047553.45,4494.0,2030.1,2084.95,5288,37.96,EQ
2018-10-31,2055.6,2113.9,2055.6,2094.4,2080.05,8062,16851403.95,4494.0,2030.1,2090.23,3331,41.32,EQ
